title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
"Notice of Inventory Completion: U.S. Department of the Interior, Bureau of Indian Affairs, Washington, DC",Notice,Interior Department; National Park Service,"The U.S. Department of the Interior, Bureau of Indian Affairs has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and associated funerary objects and any present-day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Bureau of Indian Affairs. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-09308,https://www.federalregister.gov/documents/2019/05/07/2019-09308/notice-of-inventory-completion-us-department-of-the-interior-bureau-of-indian-affairs-washington-dc,https://www.govinfo.gov/content/pkg/FR-2019-05-07/pdf/2019-09308.pdf,05/07/2019
"Notice of Inventory Completion: U.S. Department of the Interior, Bureau of Indian Affairs, Washington, DC, and Arizona State Museum, University of Arizona, Tucson, AZ",Notice,Interior Department; National Park Service,"The U.S. Department of the Interior, Bureau of Indian Affairs (BIA) and the Arizona State Museum, University of Arizona (ASM) have completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and have determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Bureau of Indian Affairs. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-09302,https://www.federalregister.gov/documents/2019/05/07/2019-09302/notice-of-inventory-completion-us-department-of-the-interior-bureau-of-indian-affairs-washington-dc,https://www.govinfo.gov/content/pkg/FR-2019-05-07/pdf/2019-09302.pdf,05/07/2019
"Notice of Inventory Completion: U.S. Department of the Interior, Bureau of Indian Affairs, Washington, DC",Notice,Interior Department; National Park Service,"The U.S. Department of the Interior, Bureau of Indian Affairs, has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Bureau of Indian Affairs. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-09303,https://www.federalregister.gov/documents/2019/05/07/2019-09303/notice-of-inventory-completion-us-department-of-the-interior-bureau-of-indian-affairs-washington-dc,https://www.govinfo.gov/content/pkg/FR-2019-05-07/pdf/2019-09303.pdf,05/07/2019
"Notice of Inventory Completion: Fowler Museum at University of California Los Angeles, Los Angeles, CA",Notice,Interior Department; National Park Service,"The Fowler Museum at University of California Los Angeles (UCLA) has completed an inventory of human remains, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the Fowler Museum at UCLA. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-09304,https://www.federalregister.gov/documents/2019/05/07/2019-09304/notice-of-inventory-completion-fowler-museum-at-university-of-california-los-angeles-los-angeles-ca,https://www.govinfo.gov/content/pkg/FR-2019-05-07/pdf/2019-09304.pdf,05/07/2019
"Notice of Inventory Completion: The San Diego Museum of Man, San Diego, CA",Notice,Interior Department; National Park Service,"The San Diego Museum of Man has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the San Diego Museum of Man. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-09037,https://www.federalregister.gov/documents/2019/05/03/2019-09037/notice-of-inventory-completion-the-san-diego-museum-of-man-san-diego-ca,https://www.govinfo.gov/content/pkg/FR-2019-05-03/pdf/2019-09037.pdf,05/03/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has completed an inventory of human remains and associated funerary objects in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and associated funerary objects and any present-day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to TVA. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-09038,https://www.federalregister.gov/documents/2019/05/03/2019-09038/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.govinfo.gov/content/pkg/FR-2019-05-03/pdf/2019-09038.pdf,05/03/2019
"Notice of Inventory Completion: University of South Alabama, Center for Archaeological Studies, Mobile, AL",Notice,Interior Department; National Park Service,"The University of South Alabama, Center for Archaeological Studies has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the University of South Alabama, Center for Archaeological Studies. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08742,https://www.federalregister.gov/documents/2019/04/30/2019-08742/notice-of-inventory-completion-university-of-south-alabama-center-for-archaeological-studies-mobile,https://www.govinfo.gov/content/pkg/FR-2019-04-30/pdf/2019-08742.pdf,04/30/2019
"Notice of Inventory Completion: Thomas Burke Memorial Washington State Museum, University of Washington, Seattle, WA",Notice,Interior Department; National Park Service,"The Thomas Burke Memorial Washington State Museum (Burke Museum) has completed an inventory of human remains, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the Burke Museum. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08740,https://www.federalregister.gov/documents/2019/04/30/2019-08740/notice-of-inventory-completion-thomas-burke-memorial-washington-state-museum-university-of,https://www.govinfo.gov/content/pkg/FR-2019-04-30/pdf/2019-08740.pdf,04/30/2019
"Notice of Inventory Completion: U.S. Department of the Interior, Bureau of Land Management, Alaska State Office, Anchorage, AK",Notice,Interior Department; National Park Service,"The U.S. Department of the Interior, Bureau of Land Management (BLM), Alaska State Office, with the assistance of the University of Oregon Museum of Natural and Cultural History, has completed an inventory of human remains, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the BLM, Alaska State Office. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08743,https://www.federalregister.gov/documents/2019/04/30/2019-08743/notice-of-inventory-completion-us-department-of-the-interior-bureau-of-land-management-alaska-state,https://www.govinfo.gov/content/pkg/FR-2019-04-30/pdf/2019-08743.pdf,04/30/2019
"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Petrified Forest National Park, Petrified Forest, AZ",Notice,Interior Department; National Park Service,"The U.S. Department of the Interior, National Park Service, Petrified Forest National Park has completed an inventory of human remains, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and any present-day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to Petrified Forest National Park. If no additional requestors come forward, transfer of control of the human remains to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-08594,https://www.federalregister.gov/documents/2019/04/29/2019-08594/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-petrified-forest,https://www.govinfo.gov/content/pkg/FR-2019-04-29/pdf/2019-08594.pdf,04/29/2019
"Notice of Inventory Completion: The Field Museum, Chicago, IL",Notice,Interior Department; National Park Service,"The Field Museum has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Field Museum. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08588,https://www.federalregister.gov/documents/2019/04/29/2019-08588/notice-of-inventory-completion-the-field-museum-chicago-il,https://www.govinfo.gov/content/pkg/FR-2019-04-29/pdf/2019-08588.pdf,04/29/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present- day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to TVA. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08591,https://www.federalregister.gov/documents/2019/04/29/2019-08591/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.govinfo.gov/content/pkg/FR-2019-04-29/pdf/2019-08591.pdf,04/29/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present- day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to TVA. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08590,https://www.federalregister.gov/documents/2019/04/29/2019-08590/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.govinfo.gov/content/pkg/FR-2019-04-29/pdf/2019-08590.pdf,04/29/2019
"Notice of Inventory Completion: History Colorado, Formerly Colorado Historical Society, Denver, CO",Notice,Interior Department; National Park Service,"History Colorado, formerly Colorado Historical Society, has completed an inventory of human remains, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and any present-day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to History Colorado. If no additional requestors come forward, transfer of control of the human remains to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2018-22593,https://www.federalregister.gov/documents/2018/10/17/2018-22593/notice-of-inventory-completion-history-colorado-formerly-colorado-historical-society-denver-co,https://www.govinfo.gov/content/pkg/FR-2018-10-17/pdf/2018-22593.pdf,10/17/2018
"Notice of Inventory Completion: U.S. Army Garrison, Fort Campbell, Fort Campbell, KY",Notice,Interior Department; National Park Service,"The U.S. Army Garrison, Fort Campbell has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and associated funerary objects and any present-day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the U.S. Army Garrison, Fort Campbell. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-08227,https://www.federalregister.gov/documents/2019/04/24/2019-08227/notice-of-inventory-completion-us-army-garrison-fort-campbell-fort-campbell-ky,https://www.govinfo.gov/content/pkg/FR-2019-04-24/pdf/2019-08227.pdf,04/24/2019
"Notice of Inventory Completion: Oregon Parks and Recreation Department, Salem, OR, and Oregon State University, Department of Anthropology, Corvallis, OR",Notice,Interior Department; National Park Service,"The Oregon State University, Department of Anthropology and the Oregon Parks and Recreation Department (OPRD) have completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and have determined that there is a cultural affiliation between the human remains and associated funerary objects and present- day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the OPRD. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08228,https://www.federalregister.gov/documents/2019/04/24/2019-08228/notice-of-inventory-completion-oregon-parks-and-recreation-department-salem-or-and-oregon-state,https://www.govinfo.gov/content/pkg/FR-2019-04-24/pdf/2019-08228.pdf,04/24/2019
"Notice of Inventory Completion: University of California Berkeley, Berkeley, CA",Notice,Interior Department; National Park Service,"The University of California, Berkeley, has completed an inventory of human remains and an associated funerary object, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary object and present- day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary object should submit a written request to the Phoebe A. Hearst Museum of Anthropology. If no additional requestors come forward, transfer of control of the human remains and associated funerary object to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08232,https://www.federalregister.gov/documents/2019/04/24/2019-08232/notice-of-inventory-completion-university-of-california-berkeley-berkeley-ca,https://www.govinfo.gov/content/pkg/FR-2019-04-24/pdf/2019-08232.pdf,04/24/2019
"Notice of Inventory Completion: University of Georgia, Laboratory of Archaeology, Athens, GA",Notice,Interior Department; National Park Service,"The University of Georgia, Laboratory of Archaeology has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the University of Georgia, Laboratory of Archaeology. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08230,https://www.federalregister.gov/documents/2019/04/24/2019-08230/notice-of-inventory-completion-university-of-georgia-laboratory-of-archaeology-athens-ga,https://www.govinfo.gov/content/pkg/FR-2019-04-24/pdf/2019-08230.pdf,04/24/2019
"Notice of Inventory Completion: Phoebe A. Hearst Museum of Anthropology, University of California Berkeley, Berkeley, CA",Notice,Interior Department; National Park Service,"The Phoebe A. Hearst Museum of Anthropology has completed an inventory of human remains, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and any present- day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the Phoebe A. Hearst Museum of Anthropology. If no additional requestors come forward, transfer of control of the human remains to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-08233,https://www.federalregister.gov/documents/2019/04/24/2019-08233/notice-of-inventory-completion-phoebe-a-hearst-museum-of-anthropology-university-of-california,https://www.govinfo.gov/content/pkg/FR-2019-04-24/pdf/2019-08233.pdf,04/24/2019
"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Possession of the U.S. Department of the Interior, National Park Service, Lake Meredith National Recreation Area, Fritch, TX; Correction",Notice,Interior Department; National Park Service,"The U.S. Department of the Interior, National Park Service, Lake Meredith National Recreation Area, has corrected an inventory of human remains and associated funerary objects published in a Notice of Inventory Completion in the Federal Register on June 18, 2001. This notice corrects the minimum number of individuals and number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to Lake Meredith National Recreation Area. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2017-15217,https://www.federalregister.gov/documents/2017/07/20/2017-15217/notice-of-inventory-completion-for-native-american-human-remains-and-associated-funerary-objects-in,https://www.govinfo.gov/content/pkg/FR-2017-07-20/pdf/2017-15217.pdf,07/20/2017
"Notice of Inventory Completion: U.S. Army Corps of Engineers, Huntington District; Correction",Notice,Interior Department; National Park Service,"The U.S. Army Corps of Engineers, Huntington District (Huntington District) has corrected an inventory of associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on December 2, 2016. This notice corrects the number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these associated funerary objects should submit a written request to the Huntington District. If no additional requestors come forward, transfer of control of the associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2017-15109,https://www.federalregister.gov/documents/2017/07/19/2017-15109/notice-of-inventory-completion-us-army-corps-of-engineers-huntington-district-correction,https://www.govinfo.gov/content/pkg/FR-2017-07-19/pdf/2017-15109.pdf,07/19/2017
"Notice of Inventory Completion: Sam Noble Oklahoma Museum of Natural History, Norman, OK",Notice,Interior Department; National Park Service,"The Sam Noble Oklahoma Museum of Natural History (Museum) at the University of Oklahoma has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Museum. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-06268,https://www.federalregister.gov/documents/2019/04/01/2019-06268/notice-of-inventory-completion-sam-noble-oklahoma-museum-of-natural-history-norman-ok,https://www.govinfo.gov/content/pkg/FR-2019-04-01/pdf/2019-06268.pdf,04/01/2019
"Notice of Inventory Completion: Tennessee Department of Environment and Conservation, Division of Archaeology, Nashville, TN",Notice,Interior Department; National Park Service,"The Tennessee Department of Environment and Conservation, Division of Archaeology, has completed an inventory of human remains and associated funerary objects in consultation with the appropriate Indian tribes or Native Hawaiian organizations and has determined that there is a cultural affiliation between the human remains and present- day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Tennessee Department of Environment and Conservation, Division of Archaeology. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-05992,https://www.federalregister.gov/documents/2019/03/28/2019-05992/notice-of-inventory-completion-tennessee-department-of-environment-and-conservation-division-of,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-05992.pdf,03/28/2019
"Notice of Inventory Completion: University of Alabama Museums, Tuscaloosa, AL",Notice,Interior Department; National Park Service,"The University of Alabama Museums has completed an inventory of human remains, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the University of Alabama Museums. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-05995,https://www.federalregister.gov/documents/2019/03/28/2019-05995/notice-of-inventory-completion-university-of-alabama-museums-tuscaloosa-al,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-05995.pdf,03/28/2019
"Notice of Inventory Completion: Fowler Museum at University of California Los Angeles, Los Angeles, CA",Notice,Interior Department; National Park Service,"The Fowler Museum at University of California Los Angeles (UCLA) has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Fowler Museum at UCLA. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-05998,https://www.federalregister.gov/documents/2019/03/28/2019-05998/notice-of-inventory-completion-fowler-museum-at-university-of-california-los-angeles-los-angeles-ca,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-05998.pdf,03/28/2019
"Notice of Inventory Completion: Fowler Museum at University of California Los Angeles, Los Angeles, CA",Notice,Interior Department; National Park Service,"The Fowler Museum at University of California Los Angeles (UCLA) has completed an inventory of human remains, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the Fowler Museum at UCLA. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-06002,https://www.federalregister.gov/documents/2019/03/28/2019-06002/notice-of-inventory-completion-fowler-museum-at-university-of-california-los-angeles-los-angeles-ca,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-06002.pdf,03/28/2019
"Notice of Inventory Completion: Pueblo Grande Museum, Phoenix, AZ",Notice,Interior Department; National Park Service,"The Pueblo Grande Museum has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and associated funerary objects and any present-day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Pueblo Grande Museum. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-05993,https://www.federalregister.gov/documents/2019/03/28/2019-05993/notice-of-inventory-completion-pueblo-grande-museum-phoenix-az,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-05993.pdf,03/28/2019
"Notice of Inventory Completion: Fowler Museum at University of California Los Angeles, Los Angeles, CA",Notice,Interior Department; National Park Service,"The Fowler Museum at University of California Los Angeles (UCLA) has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Fowler Museum at UCLA. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-06000,https://www.federalregister.gov/documents/2019/03/28/2019-06000/notice-of-inventory-completion-fowler-museum-at-university-of-california-los-angeles-los-angeles-ca,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-06000.pdf,03/28/2019
"Notice of Inventory Completion: The Field Museum of Natural History, Chicago, IL",Notice,Interior Department; National Park Service,"The Field Museum has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and associated funerary objects and any present-day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Field Museum. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-05996,https://www.federalregister.gov/documents/2019/03/28/2019-05996/notice-of-inventory-completion-the-field-museum-of-natural-history-chicago-il,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-05996.pdf,03/28/2019
"Notice of Inventory Completion: The Field Museum of Natural History, Chicago, IL",Notice,Interior Department; National Park Service,"The Field Museum has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Field Museum. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-05997,https://www.federalregister.gov/documents/2019/03/28/2019-05997/notice-of-inventory-completion-the-field-museum-of-natural-history-chicago-il,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-05997.pdf,03/28/2019
"Notice of Inventory Completion: Oregon State University, NAGPRA Office, Corvallis, OR",Notice,Interior Department; National Park Service,"The Oregon State University, NAGPRA Office, has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present- day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Oregon State University NAGPRA Office. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-05991,https://www.federalregister.gov/documents/2019/03/28/2019-05991/notice-of-inventory-completion-oregon-state-university-nagpra-office-corvallis-or,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-05991.pdf,03/28/2019
"Notice of Inventory Completion: Arkansas Archeological Survey, Fayetteville, AR; Correction",Notice,Interior Department; National Park Service,"The Arkansas Archeological Survey has corrected an inventory of human remains published in a Notice of Inventory Completion in the Federal Register on February 24, 2017. This notice corrects the minimum number of individuals.", 2017-12298,https://www.federalregister.gov/documents/2017/06/14/2017-12298/notice-of-inventory-completion-arkansas-archeological-survey-fayetteville-ar-correction,https://www.govinfo.gov/content/pkg/FR-2017-06-14/pdf/2017-12298.pdf,06/14/2017
